1,cart-svmf-clust,0.1 ,0.16 (   * --        |              ),0.00,0.00,0.10,0.15,0.21
1,cart-svmf      ,0.11,0.07 (---* ---       |              ),0.00,0.09,0.11,0.15,0.25
1,cart-cfs       ,0.11,0.12 (---*  --       |              ),0.00,0.10,0.11,0.20,0.24
1,cart-cfs-clust ,0.15,0.1 (---  *--       |              ) ,0.00,0.10,0.15,0.19,0.24
1,cart-def       ,0.16,0.14 (--   * --      |              ),0.00,0.08,0.16,0.21,0.27
1,cart-def-clust ,0.17,0.12 (-----* ---     |              ),0.00,0.15,0.17,0.22,0.30
2,rf-svmf        ,0.21,0.11 (     - * ---   |              ),0.15,0.18,0.21,0.27,0.36
2,rf-svmf-clust  ,0.22,0.09 (   --- *-----  |              ),0.10,0.18,0.22,0.25,0.40
2,rf-def         ,0.22,0.18 (   --  * ----  |              ),0.10,0.16,0.22,0.29,0.40
2,rf-def-clust   ,0.22,0.13 (   --  *-----  |              ),0.09,0.15,0.22,0.24,0.38
3,cart-dtf-clust ,0.26,0.13 (   ---   *-----|-             ),0.10,0.20,0.26,0.31,0.50
3,cart-dtf       ,0.26,0.13 (------   *-----|              ),0.00,0.20,0.26,0.31,0.48
3,rf-cfs-clust   ,0.27,0.1 (     --- * -   |              ) ,0.16,0.23,0.27,0.32,0.37
3,rf-cfs         ,0.28,0.14 (     --  *  ---|              ),0.16,0.22,0.28,0.36,0.43
3,rf-dtf-clust   ,0.29,0.13 (-------  * ----|-             ),0.00,0.22,0.29,0.33,0.50
4,rf-dtf         ,0.3 ,0.2 (   ---    * ---|-             ) ,0.11,0.20,0.30,0.36,0.50
4,svm-dtf-clust  ,0.3 ,0.17 (     ---- *   -|---           ),0.17,0.27,0.30,0.42,0.55
4,nb-svmf-clust  ,0.31,0.15 (       ---*    |----          ),0.23,0.29,0.31,0.44,0.58
4,svm-dtf        ,0.33,0.18 (    -----  *  -|---           ),0.13,0.28,0.33,0.42,0.57
4,rand-def       ,0.34,0.1 (         --*-- |              ) ,0.26,0.32,0.34,0.37,0.42
4,nb-dtf         ,0.34,0.16 (    ---     *--|-             ),0.12,0.22,0.34,0.37,0.50
4,nb-dtf-clust   ,0.34,0.08 (       ---  *--|              ),0.22,0.31,0.34,0.36,0.44
4,nb-def-clust   ,0.35,0.15 (       --   *--|--            ),0.21,0.28,0.35,0.39,0.52
5,svm-def-clust  ,0.4 ,0.07 (       ----- *-|              ),0.22,0.37,0.40,0.42,0.48
5,svm-svmf       ,0.4 ,0.22 (         --- * |  --          ),0.29,0.34,0.40,0.54,0.58
5,svm-def        ,0.4 ,0.11 (         --- * |-             ),0.26,0.34,0.40,0.43,0.50
5,svm-svmf-clust ,0.41,0.14 (         ---  *|---           ),0.27,0.37,0.41,0.45,0.57
5,nb-svmf        ,0.42,0.1 (       ------ *|----          ) ,0.21,0.38,0.42,0.47,0.59
6,nb-def         ,0.48,0.1 (            ---|* ---         ) ,0.36,0.45,0.48,0.54,0.61
6,nb-cfs-clust   ,0.5 ,0.3 (    -----      | * ----       ) ,0.13,0.27,0.50,0.57,0.67
6,nb-cfs         ,0.52,0.17 (         ------|  * ---       ),0.27,0.46,0.52,0.60,0.67
7,svm-cfs-clust  ,0.54,0.19 (               |  *  ---      ),0.44,0.48,0.54,0.62,0.71
7,svm-cfs        ,0.61,0.19 (               |--   * --     ),0.45,0.53,0.61,0.67,0.73
8,oner-def       ,0.69,0.1 (               |    --  *--   ) ,0.59,0.65,0.69,0.73,0.79
