1,rand-def       ,0.45,0.07 ( --  *--       |              ),0.38,0.41,0.45,0.46,0.52
2,nb-cfs         ,0.5 ,0.23 ( ----  *      -|----          ),0.39,0.45,0.50,0.64,0.78
2,nb-svmf        ,0.5 ,0.31 ( ---   *       |  --          ),0.38,0.43,0.50,0.72,0.76
3,rf-def         ,0.6 ,0.06 (         -  *--|              ),0.53,0.57,0.60,0.62,0.67
3,rf-def-clust   ,0.6 ,0.03 (          - *--|              ),0.55,0.59,0.60,0.62,0.67
3,nb-dtf         ,0.6 ,0.23 ( -------    *  |----          ),0.39,0.52,0.60,0.69,0.78
3,nb-svmf-clust  ,0.61,0.18 (    ------   * |----          ),0.44,0.55,0.61,0.69,0.76
4,rf-cfs-clust   ,0.63,0.11 (          -  * |--            ),0.55,0.59,0.63,0.67,0.72
4,rf-cfs         ,0.64,0.08 (          --  *|--            ),0.55,0.60,0.64,0.67,0.72
4,svm-def-clust  ,0.66,0.07 (           --  *--            ),0.58,0.62,0.66,0.69,0.72
4,svm-def        ,0.66,0.07 (          ---  *--            ),0.57,0.63,0.66,0.67,0.74
4,nb-dtf-clust   ,0.66,0.15 (      ------   *   ---        ),0.48,0.60,0.66,0.74,0.81
4,nb-def-clust   ,0.67,0.05 (            -- *---           ),0.60,0.65,0.67,0.68,0.74
4,cart-cfs-clust ,0.68,0.16 (          ---- |*  -          ),0.55,0.64,0.68,0.75,0.76
4,nb-cfs-clust   ,0.69,0.1 (          ---- |* --          ) ,0.55,0.64,0.69,0.72,0.78
5,svm-dtf        ,0.71,0.1 (             --| *----        ) ,0.62,0.66,0.71,0.72,0.81
5,svm-dtf-clust  ,0.71,0.09 (              -| *  --        ),0.64,0.67,0.71,0.76,0.81
5,svm-cfs        ,0.72,0.07 (             --|  *-          ),0.62,0.67,0.72,0.74,0.78
5,svm-cfs-clust  ,0.72,0.1 (             --|  *--         ) ,0.62,0.67,0.72,0.74,0.79
5,svm-svmf       ,0.72,0.11 (             --|- *  ----     ),0.62,0.71,0.72,0.79,0.86
6,rf-svmf        ,0.74,0.1 (             --|-- * ---      ) ,0.61,0.72,0.74,0.79,0.84
6,cart-cfs       ,0.74,0.13 (          -----|   *--        ),0.55,0.68,0.74,0.77,0.81
6,nb-def         ,0.74,0.08 (               |-  *--        ),0.68,0.71,0.74,0.78,0.81
6,svm-svmf-clust ,0.74,0.12 (              -|-  * ----     ),0.64,0.71,0.74,0.79,0.88
6,rf-dtf-clust   ,0.75,0.17 (              -|   *  ----    ),0.64,0.68,0.75,0.81,0.89
6,cart-def       ,0.75,0.09 (               |   *--        ),0.66,0.69,0.75,0.78,0.81
6,rf-dtf         ,0.76,0.15 (               |-   * ---     ),0.66,0.71,0.76,0.81,0.88
6,cart-def-clust ,0.76,0.12 (              -|--  *-        ),0.64,0.72,0.76,0.79,0.81
6,rf-svmf-clust  ,0.78,0.11 (             --|--- *  --     ),0.61,0.74,0.78,0.83,0.86
6,oner-def       ,0.78,0.05 (               |--- *--       ),0.67,0.74,0.78,0.79,0.82
7,cart-svmf      ,0.81,0.07 (             --|----- *  -    ),0.61,0.79,0.81,0.86,0.90
7,cart-dtf-clust ,0.83,0.14 (              -|----   *  --- ),0.64,0.76,0.83,0.90,0.95
7,cart-dtf       ,0.84,0.09 (              -|------  *--   ),0.64,0.81,0.84,0.88,0.91
7,cart-svmf-clust,0.84,0.05 (            ---|--------*--   ),0.60,0.84,0.84,0.88,0.91
