1,svm-svmf-clust ,0.45,0.13 (  ---  * ------|--            ),0.33,0.40,0.45,0.50,0.67
1,svm-svmf       ,0.46,0.14 (  ---   * -----|--            ),0.33,0.40,0.46,0.50,0.67
2,rand-def       ,0.51,0.1 (      --  *--- |              ) ,0.41,0.47,0.51,0.52,0.59
2,nb-dtf         ,0.52,0.19 (      --- *    | --           ),0.42,0.48,0.52,0.67,0.71
2,svm-dtf        ,0.52,0.12 (     ---- *  --|--            ),0.41,0.49,0.52,0.57,0.69
2,svm-dtf-clust  ,0.52,0.12 (      --  *  --|-             ),0.41,0.46,0.52,0.57,0.67
3,rf-dtf-clust   ,0.54,0.12 (       --  *   |--            ),0.45,0.50,0.54,0.62,0.68
3,nb-svmf        ,0.55,0.19 (      ----- *  |---           ),0.43,0.52,0.55,0.63,0.71
3,oner-def       ,0.56,0.12 (      ----  *  |-             ),0.43,0.51,0.56,0.63,0.67
3,nb-def         ,0.56,0.07 (       ---- * -|              ),0.45,0.52,0.56,0.59,0.65
3,rf-dtf         ,0.57,0.13 (      ----   * |--            ),0.43,0.50,0.57,0.62,0.68
3,svm-def        ,0.58,0.07 (      ------ * |--            ),0.42,0.55,0.58,0.61,0.67
3,svm-def-clust  ,0.58,0.09 (        ---- * |--            ),0.48,0.55,0.58,0.62,0.69
3,nb-cfs-clust   ,0.58,0.13 (         --  * |-             ),0.48,0.52,0.58,0.63,0.66
3,nb-cfs         ,0.59,0.1 (         ---  *|---           ) ,0.50,0.56,0.59,0.64,0.71
3,cart-dtf-clust ,0.59,0.15 (       ---    *|--            ),0.45,0.51,0.59,0.64,0.69
3,cart-dtf       ,0.59,0.14 (       ---    *|--            ),0.45,0.51,0.59,0.62,0.69
4,nb-dtf-clust   ,0.6 ,0.16 (      ----    *|--            ),0.43,0.52,0.60,0.64,0.69
4,svm-cfs        ,0.61,0.11 (          --   * ----         ),0.51,0.55,0.61,0.66,0.74
4,nb-svmf-clust  ,0.61,0.1 (          --   * ---          ) ,0.51,0.56,0.61,0.66,0.73
4,svm-cfs-clust  ,0.62,0.06 (          ---- * --           ),0.52,0.60,0.62,0.66,0.71
5,nb-def-clust   ,0.67,0.05 (           ----| *--          ),0.53,0.63,0.67,0.68,0.72
6,cart-svmf      ,0.72,0.07 (              -|-  *          ),0.61,0.66,0.72,0.72,0.74
6,cart-cfs       ,0.72,0.06 (               |-  *-         ),0.65,0.67,0.72,0.73,0.75
6,rf-cfs-clust   ,0.72,0.13 (            ---|   *-         ),0.55,0.65,0.72,0.72,0.74
6,cart-svmf-clust,0.72,0.05 (               |-  *          ),0.64,0.67,0.72,0.72,0.73
6,rf-cfs         ,0.72,0.07 (             --|   *-         ),0.58,0.65,0.72,0.72,0.74
6,rf-svmf-clust  ,0.72,0.07 (              -|-   *         ),0.61,0.66,0.72,0.73,0.74
6,cart-cfs-clust ,0.72,0.07 (               |--- *         ),0.61,0.72,0.72,0.73,0.74
6,rf-svmf        ,0.72,0.06 (               |--  *         ),0.65,0.68,0.72,0.72,0.74
6,rf-def         ,0.72,0.07 (               |-   *         ),0.65,0.67,0.72,0.72,0.74
6,rf-def-clust   ,0.72,0.07 (               |-   *         ),0.64,0.67,0.72,0.73,0.74
6,cart-def       ,0.72,0.02 (               | -- *         ),0.66,0.72,0.72,0.72,0.74
6,cart-def-clust ,0.72,0.07 (               |--  *         ),0.65,0.68,0.72,0.73,0.74
